student_id,question_id,topic,difficulty_level,is_correct,time_taken_sec,feedback_text,sentiment_label,sentiment_score
S001,11,General Social Studies - Class 6,3,1,41.2,Tricky but OK,POSITIVE,0.9992111921310425
S001,183,General Social Studies - Class 9,3,0,54.6,Too hard,NEGATIVE,0.9992407560348511
S001,7,General Social Studies - Class 6,3,0,57.7,I am confused,NEGATIVE,0.9992051720619202
S001,225,General Social Studies - Class 9,3,0,58.5,Don't understand this topic,NEGATIVE,0.999188244342804
S001,103,General Social Studies - Class 7,3,0,60.7,Too hard,NEGATIVE,0.9992407560348511
S001,234,General Social Studies - Class 10,3,1,46.6,Tricky but OK,POSITIVE,0.9992111921310425
S001,276,General Social Studies - Class 10,3,0,61.6,I am confused,NEGATIVE,0.9992051720619202
S001,163,General Social Studies - Class 8,3,0,58.7,Don't understand this topic,NEGATIVE,0.999188244342804
S001,4,General Social Studies - Class 6,3,1,46.7,Tricky but OK,POSITIVE,0.9992111921310425
S001,194,General Social Studies - Class 9,3,0,74.6,I am confused,NEGATIVE,0.9992051720619202
S001,180,General Social Studies - Class 9,3,0,54.6,Too hard,NEGATIVE,0.9992407560348511
S001,69,General Social Studies - Class 7,2,0,50.8,Too hard,NEGATIVE,0.9992407560348511
S001,215,General Social Studies - Class 9,3,0,69.7,I am confused,NEGATIVE,0.9992051720619202
S001,88,General Social Studies - Class 7,3,0,65.0,Too hard,NEGATIVE,0.9992407560348511
S001,115,General Social Studies - Class 8,3,0,63.5,Too hard,NEGATIVE,0.9992407560348511
S001,136,General Social Studies - Class 8,3,0,66.7,Too hard,NEGATIVE,0.9992407560348511
S001,113,General Social Studies - Class 8,3,0,77.7,I am confused,NEGATIVE,0.9992051720619202
S001,39,General Social Studies - Class 6,3,0,41.5,Too hard,NEGATIVE,0.9992407560348511
S001,156,General Social Studies - Class 8,3,0,64.1,Don't understand this topic,NEGATIVE,0.999188244342804
S001,151,General Social Studies - Class 8,3,0,61.6,Don't understand this topic,NEGATIVE,0.999188244342804
S002,69,General Social Studies - Class 7,2,1,57.0,Tricky but OK,POSITIVE,0.9992111921310425
S002,89,General Social Studies - Class 7,3,1,54.5,Tricky but OK,POSITIVE,0.9992111921310425
S002,50,General Social Studies - Class 6,3,0,55.5,I am confused,NEGATIVE,0.9992051720619202
S002,113,General Social Studies - Class 8,3,0,61.2,I am confused,NEGATIVE,0.9992051720619202
S002,180,General Social Studies - Class 9,3,1,65.3,Tough but I solved,POSITIVE,0.9913177490234375
S002,232,General Social Studies - Class 10,3,0,53.2,I am confused,NEGATIVE,0.9992051720619202
S002,128,General Social Studies - Class 8,3,0,57.9,Too hard,NEGATIVE,0.9992407560348511
S002,104,General Social Studies - Class 7,3,1,66.3,Tricky but OK,POSITIVE,0.9992111921310425
S002,195,General Social Studies - Class 9,3,0,65.0,Don't understand this topic,NEGATIVE,0.999188244342804
S002,265,General Social Studies - Class 10,3,0,51.8,I am confused,NEGATIVE,0.9992051720619202
S002,197,General Social Studies - Class 9,3,0,64.3,Too hard,NEGATIVE,0.9992407560348511
S002,99,General Social Studies - Class 7,3,0,71.9,Don't understand this topic,NEGATIVE,0.999188244342804
S002,27,General Social Studies - Class 6,3,1,72.1,Tough but I solved,POSITIVE,0.9913177490234375
S002,274,General Social Studies - Class 10,3,1,41.6,Tricky but OK,POSITIVE,0.9992111921310425
S002,92,General Social Studies - Class 7,3,0,49.1,I am confused,NEGATIVE,0.9992051720619202
S002,140,General Social Studies - Class 8,3,0,55.0,Don't understand this topic,NEGATIVE,0.999188244342804
S002,111,General Social Studies - Class 8,3,0,62.3,I am confused,NEGATIVE,0.9992051720619202
S002,10,General Social Studies - Class 6,3,1,51.8,Tough but I solved,POSITIVE,0.9913177490234375
S002,145,General Social Studies - Class 8,3,0,66.8,Don't understand this topic,NEGATIVE,0.999188244342804
S002,147,General Social Studies - Class 8,3,0,68.5,I am confused,NEGATIVE,0.9992051720619202
S003,26,General Social Studies - Class 6,3,0,60.2,I am confused,NEGATIVE,0.9992051720619202
S003,146,General Social Studies - Class 8,3,0,59.0,Don't understand this topic,NEGATIVE,0.999188244342804
S003,68,General Social Studies - Class 7,3,0,66.4,Don't understand this topic,NEGATIVE,0.999188244342804
S003,198,General Social Studies - Class 9,3,0,64.7,I am confused,NEGATIVE,0.9992051720619202
S003,81,General Social Studies - Class 7,2,0,58.1,Too hard,NEGATIVE,0.9992407560348511
S003,170,General Social Studies - Class 9,3,0,59.5,I am confused,NEGATIVE,0.9992051720619202
S003,90,General Social Studies - Class 7,3,1,74.6,Tricky but OK,POSITIVE,0.9992111921310425
S003,225,General Social Studies - Class 9,3,0,60.7,Don't understand this topic,NEGATIVE,0.999188244342804
S003,137,General Social Studies - Class 8,3,1,57.6,Tough but I solved,POSITIVE,0.9913177490234375
S003,67,General Social Studies - Class 7,3,0,57.1,Too hard,NEGATIVE,0.9992407560348511
S003,171,General Social Studies - Class 9,3,0,55.8,I am confused,NEGATIVE,0.9992051720619202
