class,chapter,topic,question,A,B,C,D,answer,difficulty,sources
6,Chapter 1,What, Where, How and When?,"According to your textbook, why do we study history?","To only memorise dates of battles","To understand how the present has developed from the past","To predict the exact future of a country","To learn only about kings and queens",B,Easy,"NCERT Class 6 History, Chapter 1"
6,Chapter 2,On the Trail of the Earliest People,"What was one main reason early humans moved from place to place?","To attend schools in different areas","To find new rulers to serve","To follow animal herds and search for food","To build large permanent cities",C,Easy,"NCERT Class 6 History, Chapter 2"
6,Chapter 3,From Gathering to Growing Food,"Which of the following best explains why people began to grow crops instead of only gathering food?","Agriculture provided a more reliable and settled source of food","Hunting became illegal in many regions","People no longer liked to eat forest fruits","Tools for gathering food disappeared completely",A,Medium,"NCERT Class 6 History, Chapter 3"
7,Chapter 1,On Equality,"In the context of Indian democracy, what does 'equality' primarily mean?","Everyone has exactly the same amount of money","Everyone is treated equally before the law and has equal political rights","People of one religion are preferred over others","Only rich people can participate in elections",B,Easy,"NCERT Class 7 Social and Political Life, Chapter 1"
7,Chapter 2,Role of Government in Health,"Why is it important for the government to provide public health services?","So that only private hospitals can treat serious illnesses","Because health is a luxury that only some people need","Because healthcare is essential and everyone should have access regardless of income","So that medicines become more expensive",C,Medium,"NCERT Class 7 Social and Political Life, Chapter 2"
8,Chapter 1,The Indian Constitution,"Which of the following is a key purpose of the Indian Constitution?","To decide the prices of goods in the market","To distribute natural resources among companies","To define political principles and safeguard citizens' rights","To select candidates for government jobs",C,Easy,"NCERT Class 8 Social and Political Life, Chapter 1"
8,Chapter 3,Why Do We Need a Parliament?,"Why is Parliament considered the most important symbol of Indian democracy?","Because it is the largest building in the country","Because it is the place where laws are made and government is held accountable","Because only judges work in Parliament","Because it controls schools and universities directly",B,Medium,"NCERT Class 8 Social and Political Life, Chapter 3"
9,"Chapter I",The French Revolution,"In pre-revolutionary France, which group bore the burden of paying direct taxes to the state?","First Estate – Clergy","Second Estate – Nobility","Third Estate – Common people","Both First and Second Estates together",C,Medium,"NCERT Class 9 History, The French Revolution"
9,"Chapter I",The French Revolution,"What does the term 'subsistence crisis' refer to in the context of eighteenth-century France?","A situation where the king loses all his power","A situation where basic means of livelihood are seriously threatened","A period of rapid industrial growth","A time when only luxury goods are produced",B,Easy,"NCERT Class 9 History, The French Revolution"
9,"Chapter III",Nazism and the Rise of Hitler,"What was one important feature of Nazi ideology?","Belief in equality of all races","Support for democratic institutions and free speech","Belief in the racial superiority of the 'Aryan' race","Promotion of international peace and cooperation",C,Medium,"NCERT Class 9 History, Nazism and the Rise of Hitler"
10,Chapter 1,The Rise of Nationalism in Europe,"In the painting of Germania, which attribute symbolises the strength of the German Empire?","Broken chains","Breastplate with the imperial eagle","Crown of oak leaves","Olive branch around the sword",B,Easy,"NCERT Class 10 History, The Rise of Nationalism in Europe"
10,Chapter 1,The Rise of Nationalism in Europe,"In the iconography of Germania, what does the sword represent?","Heroism in battle","Readiness to fight for the nation","Justice for all citizens","Unity among all European countries",B,Medium,"NCERT Class 10 History, The Rise of Nationalism in Europe"
10,Chapter 2,Nationalism in India,"Why did Gandhiji choose salt as a powerful symbol to launch the Civil Disobedience Movement?","Salt was an imported luxury item used only by the rich","Salt was cheap and therefore unimportant to the colonial government","Salt was essential for everyone, and the tax on it showed the oppressive nature of British rule","Salt production was controlled by Indian merchants",C,Medium,"NCERT Class 10 History, Nationalism in India"
10,Chapter 3,The Making of a Global World,"What does the movement of traders, travellers, priests and pilgrims over centuries tell us about human societies?","They have always remained isolated from each other","They have long been interconnected through the exchange of goods, ideas and cultures","They only migrated due to natural disasters","They never crossed the boundaries of their own continents",B,Medium,"NCERT Class 10 History, The Making of a Global World"
