question_id,subject,class,subtopic,topic,difficulty_level,question_text,option_A,option_B,option_C,option_D,correct_option,answer_text,difficulty_label
1,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Siraj Anwar Division Chief Editor : Shveta Uppal Chief Business : Gautam Ganguly Manager Chief Production : Arun Chitkara Officer Editor : Bijnan Sutar Production Assistant : Deepak Jaiswal Cover and layout Shweta Rao Illustrations Anagha Inamdar and Prashant Soni First Edition First Edition First Edition First Edition First Edition February 2006 Phalguna 1927 Reprinted Reprinted Reprinted Reprinted Reprinted January 2007 Magha 1928 December 2007 Agrahayana 1929 January 2009 Pausa 1930 November 2009 Agrahayana 1931 November 2010 Kartika 1932 January 2012 Magha _____ December 2012 Pausa 1934 November 2013 Kartika 1935 December 2014 Pausa 1936 December 2015 Agrahayana 1937 December 2016 Pausa 1938 November 2017 Agrahayana 1939 November 2018 Kartika 1940 January 2019 Pausa 1940 PD 900T RPS © National Council of Educational © National Council of Educational © National Council of Educational © National Council of Educational © National Council of Educational Research and Training, 2006 Research and Training, 2006 Research and Training, 2006 Research and Training, 2006 Research and Training, 2006 ` 60",1938,1934,1933,1932,C,1933,Medium
2,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Part IV A (Article _____ A) 2019-20 2019-2020 
Acknowledgements The Council acknowledges the valuable comments of the following participants of the workshop towards the finalisation of the book — K",51,56,52,50,A,51,Medium
3,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"_____19-_____ _____19-__________ 
CONSTITUTION OF INDIA Part III (Articles 12 – 35) (Subject to certain conditions, some exceptions and reasonable restrictions) guarantees these Fundamental Rights Right to Equality • before law and equal protection of laws; • irrespective of religion, race, caste, sex or place of birth; • of opportunity in public employment; • by abolition of untouchability and titles",21,20,25,19,B,20,Medium
4,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"_____19-_____ _____19-__________ 
A Note for the Teachers athematics has an important role in our life, it not only helps in day-to-day situations but also develops logical reasoning, abstract thinking and imagination",20,19,25,21,A,20,Medium
5,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"M _____-20 _____-2020 
There is expectation that in your class, Mathematics will emerge as a subject of exploration and creation rather than an exercise of finding old answers to old and complicated problems",2020,2018,2019,2024,C,2019,Medium
6,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"PRACTICAL GEOMETRY 274 ANSWERS 293 BRAIN-TEASERS _____ 2019-20 2019-2020 
2019-20 2019-2020 
Counting things is easy for us now",315,314,316,320,A,315,Medium
7,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Knowing our Knowing our Knowing our Knowing our Knowing our Numbers Numbers Numbers Numbers Numbers 2019-_____ 
MATHEMATICS 2 1",2025,2019,2020,2021,C,2020,Medium
8,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2 Comparing Numbers As we have done quite a lot of this earlier, let us see if we remember which is the greatest among these : (i) 92, 392, 4456, 89742 (ii) 1902, 1920, _____, 9021, 9210 So, we know the answers",9200,9202,9201,9206,C,9201,Medium
9,Mathematics,Class 6,General Maths,General Maths - Class 6,2,59785 is the greatest and _____ is the smallest,23,18,17,19,B,18,Medium
10,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Now, how do we compare _____ and 3542",4876,4874,4880,4875,D,4875,Medium
11,Mathematics,Class 6,General Maths,General Maths - Class 6,2,But the digit at the thousands place in 4875 is greater than that in _____,3542,3541,3543,3547,A,3542,Medium
12,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Therefore, _____ is greater than 3542",4875,4874,4876,4880,A,4875,Medium
13,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Next tell which is greater, 4875 or _____",4541,4542,4543,4547,B,4542,Medium
14,Mathematics,Class 6,General Maths,General Maths - Class 6,2,The digit at the hundreds place is greater in _____ than in 4542,4875,4876,4874,4880,A,4875,Medium
15,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Therefore, 4875 is greater than _____",4547,4542,4541,4543,B,4542,Medium
16,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"2019-2020 
KNOWING OUR NUMBERS 3 9 8 6 7 1 0 2 7 _____ _____ 9 9 1 If the digits at hundreds place are also same in the two numbers, then what do we do",9,5,4,3,C,4,Medium
17,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Compare _____ and 4889 ; Also compare _____ and 4879,4876,4874,4880,4875,D,4875,Medium
18,Mathematics,Class 6,General Maths,General Maths - Class 6,2,_____ How many numbers can you make,6,2,0,1,D,1,Medium
19,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Suppose, we have four digits 7, _____, 3, 5",8,7,13,9,A,8,Medium
20,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Using these digits we want to make different _____-digit numbers in such a way that no digit is repeated in them,5,4,3,9,B,4,Medium
21,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Thus, _____ is allowed, but 7735 is not",7834,7836,7835,7840,C,7835,Medium
22,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Make as many _____-digit numbers as you can,4,5,3,9,A,4,Medium
23,Mathematics,Class 6,General Maths,General Maths - Class 6,2,The greatest number is _____ and the smallest is 3578,8754,8758,8752,8753,D,8753,Medium
24,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Use the given digits without repetition and make the greatest and smallest _____-digit numbers,4,5,9,3,A,4,Medium
25,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"(a) 2, 8, 7, 4 (b) 9, 7, 4, 1 (c) 4, 7, 5, 0 (d) 1, 7, _____, 2 (e) 5, 4, 0, 3 (Hint : 0754 is a 3-digit number",11,5,7,6,D,6,Medium
26,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Now make the greatest and the smallest _____-digit numbers by using any one digit twice,9,5,3,4,D,4,Medium
27,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"(a) 3, 8, 7 (b) 9, 0, _____ (c) 0, 4, 9 (d) 8, _____, 1 (Hint : Think in each case which digit will you use twice",10,5,4,6,B,5,Medium
28,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Make the greatest and the smallest _____-digit numbers using any four different digits with conditions as given,9,4,3,5,B,4,Medium
29,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"(a) Digit 7 is always at Greatest ones place Smallest (Note, the number cannot begin with the digit _____",1,5,0,-1,C,0,Medium
30,Mathematics,Class 6,General Maths,General Maths - Class 6,2,") (b) Digit 4 is always Greatest at tens place Smallest (c) Digit _____ is always at Greatest hundreds place Smallest (d) Digit 1 is always at Greatest thousands place Smallest 1 201_____-2020 
MATHEMATICS 4 Ramhari (160 cm) Dolly (154 cm) Mohan (158 cm) Shashi (15_____ cm) ` 2635 ` 18_____7 ` 2854 ` 1788 ` 3_____75 4",10,14,8,9,D,9,Medium
31,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Take two digits, say 2 and _____",8,2,3,4,C,3,Medium
32,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Make _____-digit numbers using both the digits equal number of times,5,3,4,9,C,4,Medium
33,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"_____-2020 
KNOWING OUR NUMBERS 5 1",2024,2018,2020,2019,D,2019,Medium
34,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Arrange the following numbers in ascending order : (a) 847, 9754, 83_____0, 571 (b) 9801, _____5751, 36501, 3880_____ _____",1,2,7,3,B,2,Medium
35,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"Arrange the following numbers in descending order : (a) 5000, 7500, 85400, 7861 (b) 1971, _____, 88715, 92547 Make ten such examples of ascending/descending order and solve them",45321,45322,45320,45326,A,45321,Medium
36,Mathematics,Class 6,General Maths,General Maths - Class 6,2,_____ Shifting digits Have you thought what fun it would be if the digits in a number could shift (move) from one place to the other,3,2,1,7,B,2,Medium
37,Mathematics,Class 6,General Maths,General Maths - Class 6,2,It could become as large as _____ and as small as 128,826,822,821,820,C,821,Medium
38,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Take any _____-digit number and exchange the digit at the hundreds place with the digit at the ones place,2,3,8,4,B,3,Medium
39,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Before _____ 9 5 Exchanging the 1st and the 3rd tiles,12,7,8,6,B,7,Medium
40,Mathematics,Class 6,General Maths,General Maths - Class 6,2,After 5 9 7 If you exchange the _____st and the 3rd tiles (i,6,1,2,0,B,1,Medium
41,Mathematics,Class 6,General Maths,General Maths - Class 6,2,Try this with a _____-digit number,4,9,3,5,A,4,Medium
42,Mathematics,Class 6,General Maths,General Maths - Class 6,2,"3 Introducing 10,_____ We know that beyond 99 there is no 2-digit number",1,5,000,-1,C,000,Medium
43,Mathematics,Class 6,General Maths,General Maths - Class 6,2,_____ is the greatest 2-digit number,99,104,100,98,A,99,Medium
